region,period,scen,rem
854,2040,SSP1,0.725190463
854,2045,SSP1,0.61198733
854,2050,SSP1,0.324278473
854,2055,SSP1,-0.262149648
854,2060,SSP1,-1.775911445
854,2065,SSP1,-3.503807618
854,2070,SSP1,-5.630717081
854,2075,SSP1,-10.55639143
854,2080,SSP1,-14.12471838
854,2085,SSP1,-17.68721043
854,2090,SSP1,-27.91698033
854,2095,SSP1,-34.30542858
854,2100,SSP1,-39.77568688
50,2015,SSP1,NA
50,2020,SSP1,27.65502178
50,2025,SSP1,32.79727035
50,2030,SSP1,39.74673743
50,2035,SSP1,48.62140164
50,2040,SSP1,59.51112261
50,2045,SSP1,70.73613879
50,2050,SSP1,82.21003898
50,2055,SSP1,94.90123734
50,2060,SSP1,105.1922925
50,2065,SSP1,114.0737866
50,2070,SSP1,120.2172
50,2075,SSP1,130.1676278
50,2080,SSP1,127.3704389
50,2085,SSP1,117.9370457
50,2090,SSP1,119.5623618
50,2095,SSP1,100.0135358
50,2100,SSP1,87.17337949
100,2015,SSP1,NA
100,2020,SSP1,3.020094494
100,2025,SSP1,3.451320558
100,2030,SSP1,3.96317004
100,2035,SSP1,4.58896808
100,2040,SSP1,5.269597298
100,2045,SSP1,5.964265067
100,2050,SSP1,6.750950377
100,2055,SSP1,7.348723418
100,2060,SSP1,7.953221127
100,2065,SSP1,8.531226926
100,2070,SSP1,9.166617215
100,2075,SSP1,9.526282135
100,2080,SSP1,9.725631885
100,2085,SSP1,9.37805305
100,2090,SSP1,9.739413753
100,2095,SSP1,9.251737866
100,2100,SSP1,7.897279591
48,2015,SSP1,NA
48,2020,SSP1,-5.174896901
48,2025,SSP1,-6.141187924
48,2030,SSP1,-7.489257848
48,2035,SSP1,-9.033133517
48,2040,SSP1,-10.73314067
48,2045,SSP1,-12.53582546
48,2050,SSP1,-14.05011617
48,2055,SSP1,-15.2524525
48,2060,SSP1,-16.37642914
48,2065,SSP1,-18.15897112
48,2070,SSP1,-19.16487498
48,2075,SSP1,-19.64735399
48,2080,SSP1,-21.13669287
48,2085,SSP1,-20.63916315
48,2090,SSP1,-19.0435957
48,2095,SSP1,-20.01601106
48,2100,SSP1,-17.31491291
44,2015,SSP1,NA
44,2020,SSP1,-0.153091041
44,2025,SSP1,-0.171117257
44,2030,SSP1,-0.190700302
44,2035,SSP1,-0.215867974
44,2040,SSP1,-0.241888752
44,2045,SSP1,-0.268548563
44,2050,SSP1,-0.302513212
44,2055,SSP1,-0.327242601
44,2060,SSP1,-0.348450373
44,2065,SSP1,-0.380502499
44,2070,SSP1,-0.398764383
44,2075,SSP1,-0.411972683
44,2080,SSP1,-0.440609247
44,2085,SSP1,-0.443447425
44,2090,SSP1,-0.432879528
44,2095,SSP1,-0.406710399
44,2100,SSP1,-0.427261336
70,2015,SSP1,NA
70,2020,SSP1,3.02576153
70,2025,SSP1,3.342487953
70,2030,SSP1,3.772321613
70,2035,SSP1,4.270868645
