year,countrycode,scenario,hdi.proj
2060,BRA,SSP1,0.784183021
2065,BRA,SSP1,0.786531223
2070,BRA,SSP1,0.789114943
2075,BRA,SSP1,0.791939355
2080,BRA,SSP1,NA
2085,BRA,SSP1,NA
2090,BRA,SSP1,NA
2095,BRA,SSP1,NA
2010,BTN,SSP1,0.521237074
2015,BTN,SSP1,0.562998697
2020,BTN,SSP1,0.615263918
2025,BTN,SSP1,0.65480216
2030,BTN,SSP1,0.685446254
2035,BTN,SSP1,0.709771262
2040,BTN,SSP1,0.731255286
2045,BTN,SSP1,0.750522963
2050,BTN,SSP1,0.766117421
2055,BTN,SSP1,0.778591282
2060,BTN,SSP1,0.787154336
2065,BTN,SSP1,0.795207501
2070,BTN,SSP1,0.802671855
2075,BTN,SSP1,0.809615838
2080,BTN,SSP1,NA
2085,BTN,SSP1,NA
2090,BTN,SSP1,NA
2095,BTN,SSP1,NA
2010,CAF,SSP1,0.34182932
2015,CAF,SSP1,0.377817094
2020,CAF,SSP1,0.419559132
2025,CAF,SSP1,0.453787091
2030,CAF,SSP1,0.486484612
2035,CAF,SSP1,0.516558704
2040,CAF,SSP1,0.546319753
2045,CAF,SSP1,0.573541013
2050,CAF,SSP1,0.598332066
2055,CAF,SSP1,0.620027002
2060,CAF,SSP1,0.638203458
2065,CAF,SSP1,0.655079841
2070,CAF,SSP1,0.670288808
2075,CAF,SSP1,0.683869438
2080,CAF,SSP1,NA
2085,CAF,SSP1,NA
2090,CAF,SSP1,NA
2095,CAF,SSP1,NA
2010,CAN,SSP1,0.871888818
2015,CAN,SSP1,0.875549155
2020,CAN,SSP1,0.882179552
2025,CAN,SSP1,0.890012473
2030,CAN,SSP1,0.897061526
2035,CAN,SSP1,0.9023095
2040,CAN,SSP1,0.906790985
2045,CAN,SSP1,0.910339729
2050,CAN,SSP1,0.911059258
2055,CAN,SSP1,0.909639092
2060,CAN,SSP1,0.905723616
2065,CAN,SSP1,0.902922146
2070,CAN,SSP1,0.90093818
2075,CAN,SSP1,0.899096257
2080,CAN,SSP1,NA
2085,CAN,SSP1,NA
2090,CAN,SSP1,NA
2095,CAN,SSP1,NA
2010,CHE,SSP1,0.873516821
2015,CHE,SSP1,0.877982847
2020,CHE,SSP1,0.883828391
2025,CHE,SSP1,0.889542298
2030,CHE,SSP1,0.894977771
2035,CHE,SSP1,0.899547408
2040,CHE,SSP1,0.904266671
2045,CHE,SSP1,0.908551372
2050,CHE,SSP1,0.91031361
2055,CHE,SSP1,0.910015408
2060,CHE,SSP1,0.907078932
2065,CHE,SSP1,0.90544298
2070,CHE,SSP1,0.904678891
2075,CHE,SSP1,0.904170123
2080,CHE,SSP1,NA
2085,CHE,SSP1,NA
2090,CHE,SSP1,NA
2095,CHE,SSP1,NA
2010,CHL,SSP1,0.76586292
2015,CHL,SSP1,0.778433118
2020,CHL,SSP1,0.792162093
2025,CHL,SSP1,0.805491704
2030,CHL,SSP1,0.818059772
2035,CHL,SSP1,0.828592614
2040,CHL,SSP1,0.838012366
2045,CHL,SSP1,0.8458424
2050,CHL,SSP1,0.850257109
2055,CHL,SSP1,0.851782426
2060,CHL,SSP1,0.850314301
2065,CHL,SSP1,0.849820318
2070,CHL,SSP1,0.850282446
2075,CHL,SSP1,0.851061792
2080,CHL,SSP1,NA
2085,CHL,SSP1,NA
2090,CHL,SSP1,NA
2095,CHL,SSP1,NA
2010,CHN,SSP1,0.647348169
2015,CHN,SSP1,0.679701304
2020,CHN,SSP1,0.713141652
2025,CHN,SSP1,0.737812886
2030,CHN,SSP1,0.756137549
2035,CHN,SSP1,0.769994355
2040,CHN,SSP1,0.781146851
2045,CHN,SSP1,0.790713745
2050,CHN,SSP1,0.797029463
2055,CHN,SSP1,0.800800756
2060,CHN,SSP1,0.801744294
2065,CHN,SSP1,0.803306438
2070,CHN,SSP1,0.805168862
2075,CHN,SSP1,0.806822346
2080,CHN,SSP1,NA
2085,CHN,SSP1,NA
2090,CHN,SSP1,NA
2095,CHN,SSP1,NA
2010,CIV,SSP1,0.408574523
2015,CIV,SSP1,0.439825611
2020,CIV,SSP1,0.472969508
2025,CIV,SSP1,0.504357521
2030,CIV,SSP1,0.537430065
2035,CIV,SSP1,0.569435278
2040,CIV,SSP1,0.600416098
2045,CIV,SSP1,0.629613971
2050,CIV,SSP1,0.653546583
2055,CIV,SSP1,0.673203051
2060,CIV,SSP1,0.688790957
2065,CIV,SSP1,0.703025952
2070,CIV,SSP1,0.715910781
2075,CIV,SSP1,0.727060381
2080,CIV,SSP1,NA
2085,CIV,SSP1,NA
2090,CIV,SSP1,NA
2095,CIV,SSP1,NA
2010,CMR,SSP1,0.459743482
2015,CMR,SSP1,0.48931966
2020,CMR,SSP1,0.523218674
2025,CMR,SSP1,0.554159394
2030,CMR,SSP1,0.583027049
2035,CMR,SSP1,0.610927034
2040,CMR,SSP1,0.636807417
2045,CMR,SSP1,0.660181251
2050,CMR,SSP1,0.678967147
2055,CMR,SSP1,0.694452541
2060,CMR,SSP1,0.706346046
2065,CMR,SSP1,0.718220547
2070,CMR,SSP1,0.729646494
2075,CMR,SSP1,0.740010328
2080,CMR,SSP1,NA
2085,CMR,SSP1,NA
2090,CMR,SSP1,NA
2095,CMR,SSP1,NA
2010,COD,SSP1,0.284879925
2015,COD,SSP1,0.359604107
2020,COD,SSP1,0.455001645
2025,COD,SSP1,0.530397588
2030,COD,SSP1,0.584007351
2035,COD,SSP1,0.622021458
2040,COD,SSP1,0.651282253
2045,COD,SSP1,0.675385264
2050,COD,SSP1,0.693553941
2055,COD,SSP1,0.707390504
2060,COD,SSP1,0.717934421
2065,COD,SSP1,0.72787572
2070,COD,SSP1,0.736656403
2075,COD,SSP1,0.744498994
2080,COD,SSP1,NA
2085,COD,SSP1,NA
2090,COD,SSP1,NA
