"","scenario","country or area","1950","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"69","SSP1","BGD",4.282,4.687,5.135,6.211,7.593,9.836,14.851,17.496,19.811,21.693,23.59,26.809,30.462,33.76980225,37.10350108,40.51984144,44.03114778,47.44345298,50.76898641,54.03005604,57.19635051,60.1515921,63.02472648,65.70167236,68.27241893,70.62207223,72.8132544,74.7980936,76.50529603,78.00784861,79.24619463
"70","SSP1","BTN",2.1,2.751,3.596,4.687,6.089,7.876,10.132,12.941,16.388,20.537,25.418,30.965,34.793,38.40477012,42.11730687,45.85823211,49.76302117,53.33222869,56.71410222,59.8944394,62.9264189,65.73307349,68.39466764,70.89674885,73.21901957,75.17178161,76.95130388,78.5008476,79.8258431,81.02146345,82.12906888
"71","SSP1","IND",17.042,17.582,17.924,18.785,19.76,21.332,23.098,24.348,25.547,26.607,27.667,29.235,30.93,33.63302744,36.29426407,39.07224852,41.77757155,44.49538879,47.21045128,49.96957923,52.73443199,55.37275658,57.96437091,60.51653072,63.0705913,65.44456635,67.69966618,69.76221599,71.71174847,73.59644827,75.1762271
"72","SSP1","IRN",27.549,30.554,33.735,37.068,41.212,45.747,49.693,53.395,56.33,60.236,64.042,67.558,70.626,72.91485659,74.89333429,76.64593299,78.18295779,79.47915454,80.62101891,81.71527931,82.66274179,83.58429649,84.37338281,85.06102931,86.68409042,88.22267151,89.56365298,90.79580949,91.8701219,92.92534988,93.8991481
"73","SSP1","MDV",10.612,10.889,11.173,11.458,11.893,17.304,22.25,25.491,25.84,25.638,27.706,33.75,36.434,39.58708247,42.82403851,45.93734815,49.1854208,52.36436084,55.38919578,58.29015089,61.05806774,63.73369532,66.2860656,68.63713608,70.89454128,72.93733708,74.75283807,76.35771567,77.82945443,79.04734212,80.16447554
"74","SSP1","NPL",2.677,3.053,3.48,3.737,3.956,4.83,6.091,7.386,8.854,10.883,13.397,15.149,16.768,19.0945707,21.69300102,24.47694917,27.47542152,30.6024892,33.79632316,36.96986102,40.2709093,43.68136311,46.98258673,50.24488748,53.50961234,56.58196357,59.46370527,62.2756329,64.90786438,67.42532492,69.7218555
"75","SSP1","PAK",17.521,19.712,22.104,23.511,24.817,26.341,28.066,29.344,30.576,31.836,32.982,33.982,34.997,37.73776855,40.44385388,43.24322254,45.91767996,48.73507302,51.42675829,54.13499914,56.74871459,59.24835695,61.74324423,64.25533033,66.58995748,68.77486863,70.81517877,72.63913344,74.28529952,75.81059789,77.18446484
"76","SSP1","LKA",15.327,15.647,16.431,17.11,17.598,18.097,18.607,18.613,18.535,18.458,18.38,18.303,18.226,20.42759708,22.84965362,25.2639487,27.77913676,30.40482861,33.0251994,35.66594574,38.39483464,41.1284504,43.90533882,46.64377748,49.41548195,52.20583548,54.87839061,57.41135249,59.90300923,62.38285943,64.84012205
"77","SSP1","BRN",26.756,34.608,43.401,52.625,61.675,64.193,64.949,65.697,66.438,68.644,71.164,73.163,74.961,76.59835066,78.04601494,79.28080413,80.36890453,81.40018396,82.35424036,83.28981905,84.04613496,84.77462,85.39292072,86.89757967,88.41585012,89.74202861,90.95421741,92.01464481,93.05038966,94.00980306,94.882142
"78","SSP1","KHM",10.2,10.242,10.285,10.83,15.97,4.477,9.898,13.931,15.546,17.311,18.586,19.174,20.294,22.70139956,25.1013608,27.61083822,30.24741428,32.86716754,35.53492355,38.24661914,41.0857899,43.98853443,46.79901032,49.67557531,52.51851791,55.21042185,57.80133438,60.40386815,63.02982901,65.49631744,67.78596592
"79","SSP1","IDN",12.4,13.455,14.586,15.789,17.071,19.317,22.104,26.089,30.584,36.076,42.002,45.942,49.914,53.28692251,56.49702422,59.58956222,62.45516863,65.25215558,67.87704051,70.27076686,72.55835138,74.68914154,76.46292655,78.00465367,79.27748576,80.49017362,81.59935389,82.55428063,83.48012555,84.28385716,84.98488375
