countrycode,year,gii,scenario
YEM,2001,0.838057973,Observed
ZAF,2001,0.446478437,Observed
ZMB,2001,0.64154709,Observed
ZWE,2001,0.613512006,Observed
AGO,2002,0.665330824,Observed
ALB,2002,0.283238961,Observed
ARE,2002,0.419792407,Observed
ARG,2002,0.374319689,Observed
ARM,2002,0.417353066,Observed
AUS,2002,0.089861214,Observed
AZE,2002,0.338832745,Observed
BDI,2002,0.602683245,Observed
BEL,2002,0.058577051,Observed
BEN,2002,0.666858698,Observed
BFA,2002,0.641115259,Observed
BGD,2002,0.732352654,Observed
BGR,2002,0.218628674,Observed
BLR,2002,0.233906235,Observed
BLZ,2002,0.523320344,Observed
BOL,2002,0.53966203,Observed
BRA,2002,0.48623092,Observed
BTN,2002,0.580770076,Observed
BWA,2002,0.49838006,Observed
CAF,2002,0.695100972,Observed
CAN,2002,0.082247138,Observed
CHE,2002,0.01,Observed
CHL,2002,0.377391386,Observed
CHN,2002,0.194069455,Observed
CIV,2002,0.69116408,Observed
CMR,2002,0.66117876,Observed
COL,2002,0.485228742,Observed
CPV,2002,0.502727886,Observed
CRI,2002,0.350688402,Observed
CUB,2002,0.3425928,Observed
CYP,2002,0.078768444,Observed
CZE,2002,0.07802516,Observed
DEU,2002,0.044478073,Observed
DNK,2002,0.01,Observed
DOM,2002,0.474492135,Observed
DZA,2002,0.544753668,Observed
EGY,2002,0.599229571,Observed
ESP,2002,0.050968538,Observed
EST,2002,0.222665712,Observed
ETH,2002,0.674214377,Observed
FIN,2002,0.0169109,Observed
FJI,2002,0.450500959,Observed
FRA,2002,0.071824434,Observed
GAB,2002,0.630576031,Observed
GBR,2002,0.159996895,Observed
GEO,2002,0.398523745,Observed
GHA,2002,0.58613728,Observed
GMB,2002,0.70045416,Observed
GNB,2002,0.699053493,Observed
GNQ,2002,0.691700765,Observed
GRC,2002,0.143135511,Observed
GTM,2002,0.570419662,Observed
GUY,2002,0.559673062,Observed
HND,2002,0.547812978,Observed
HRV,2002,0.098027887,Observed
HTI,2002,0.623082341,Observed
HUN,2002,0.227979965,Observed
IDN,2002,0.560618169,Observed
IND,2002,0.622923148,Observed
IRL,2002,0.147010441,Observed
IRN,2002,0.53179609,Observed
IRQ,2002,0.634260006,Observed
ISL,2002,0.062856152,Observed
ISR,2002,0.118959634,Observed
ITA,2002,0.101727044,Observed
JOR,2002,0.62842404,Observed
