ccode,year,ssp,hc.source,extreme.Poor,gdp.capita
ARM,2031,SSP2,survey,15052,12176.82
ARM,2031,SSP3,survey,17878,11705.07
ARM,2031,SSP4,survey,14409,12262.56
ARM,2031,SSP5,survey,11645,13061.54
ATG,2015,SSP1,regression,1937,22107.39
ATG,2015,SSP2,regression,1937,22107.39
ATG,2015,SSP3,regression,1937,22107.39
ATG,2015,SSP4,regression,1937,22107.39
ATG,2015,SSP5,regression,1937,22107.39
ATG,2016,SSP1,regression,1843,22701.21
ATG,2016,SSP2,regression,1843,22701.21
ATG,2016,SSP3,regression,1843,22701.21
ATG,2016,SSP4,regression,1843,22701.21
ATG,2016,SSP5,regression,1843,22701.21
ATG,2017,SSP1,regression,1786,22972.5
ATG,2017,SSP2,regression,1786,22972.5
ATG,2017,SSP3,regression,1786,22972.5
ATG,2017,SSP4,regression,1786,22972.5
ATG,2017,SSP5,regression,1786,22972.5
ATG,2018,SSP1,regression,1740,23135.77
ATG,2018,SSP2,regression,1740,23135.77
ATG,2018,SSP3,regression,1740,23135.77
ATG,2018,SSP4,regression,1740,23135.77
ATG,2018,SSP5,regression,1740,23135.77
ATG,2019,SSP1,regression,1695,23302.65
ATG,2019,SSP2,regression,1695,23302.65
ATG,2019,SSP3,regression,1695,23302.65
ATG,2019,SSP4,regression,1695,23302.65
ATG,2019,SSP5,regression,1695,23302.65
ATG,2020,SSP1,regression,1651,23473.88
ATG,2020,SSP2,regression,1651,23473.88
ATG,2020,SSP3,regression,1651,23473.88
ATG,2020,SSP4,regression,1651,23473.88
ATG,2020,SSP5,regression,1651,23473.88
ATG,2021,SSP1,regression,1607,23649.48
ATG,2021,SSP2,regression,1607,23649.48
ATG,2021,SSP3,regression,1607,23649.48
ATG,2021,SSP4,regression,1607,23649.48
ATG,2021,SSP5,regression,1607,23649.48
ATG,2022,SSP1,regression,1564,23830.41
ATG,2022,SSP2,regression,1564,23830.41
ATG,2022,SSP3,regression,1564,23830.41
ATG,2022,SSP4,regression,1564,23830.41
ATG,2022,SSP5,regression,1564,23830.41
