region,period,scen,diffmig
854,2015,SSP1,0
854,2020,SSP1,-167.0966157
854,2025,SSP1,-375.5898715
854,2030,SSP1,-606.5667756
854,2035,SSP1,-852.8419233
854,2040,SSP1,-1114.095802
854,2045,SSP1,-1392.122904
854,2050,SSP1,-1686.360259
854,2055,SSP1,-1993.495014
854,2060,SSP1,-2307.418183
854,2065,SSP1,-2622.003043
854,2070,SSP1,-2931.440721
854,2075,SSP1,-3232.462272
854,2080,SSP1,-3523.771492
854,2085,SSP1,-3804.146383
854,2090,SSP1,-4070.601941
854,2095,SSP1,-4319.187055
854,2100,SSP1,-4546.246098
50,2015,SSP1,0
50,2020,SSP1,-1372.974446
50,2025,SSP1,-2907.206558
50,2030,SSP1,-4547.242801
50,2035,SSP1,-6268.699782
50,2040,SSP1,-8058.62512
50,2045,SSP1,-9901.580504
50,2050,SSP1,-11774.39546
50,2055,SSP1,-13651.74702
50,2060,SSP1,-15512.80055
50,2065,SSP1,-17343.17387
50,2070,SSP1,-19129.48458
50,2075,SSP1,-20863.07877
50,2080,SSP1,-22528.54775
50,2085,SSP1,-24110.5151
50,2090,SSP1,-25597.42495
50,2095,SSP1,-26982.65257
50,2100,SSP1,-28269.26495
100,2015,SSP1,0
100,2020,SSP1,-98.8271185
100,2025,SSP1,-201.8030149
100,2030,SSP1,-306.8015309
100,2035,SSP1,-411.0711696
100,2040,SSP1,-512.7861221
100,2045,SSP1,-611.7538244
100,2050,SSP1,-708.1582994
100,2055,SSP1,-801.996229
100,2060,SSP1,-892.8454184
100,2065,SSP1,-979.7176626
100,2070,SSP1,-1060.977286
100,2075,SSP1,-1135.465899
100,2080,SSP1,-1202.552208
100,2085,SSP1,-1262.151389
100,2090,SSP1,-1314.577952
100,2095,SSP1,-1360.555026
100,2100,SSP1,-1401.229908
48,2015,SSP1,0
48,2020,SSP1,52.38725126
48,2025,SSP1,109.1050825
48,2030,SSP1,168.4476849
48,2035,SSP1,229.3573173
48,2040,SSP1,291.2798865
48,2045,SSP1,353.9247409
48,2050,SSP1,416.9604131
48,2055,SSP1,479.8456161
48,2060,SSP1,541.7697133
48,2065,SSP1,601.8847167
48,2070,SSP1,659.461334
48,2075,SSP1,713.8217261
48,2080,SSP1,764.2527296
48,2085,SSP1,810.0991511
48,2090,SSP1,850.7913771
48,2095,SSP1,886.1463393
48,2100,SSP1,916.2168267
44,2015,SSP1,0
44,2020,SSP1,6.507818185
44,2025,SSP1,13.95175037
44,2030,SSP1,22.03058462
44,2035,SSP1,30.57355453
44,2040,SSP1,39.48785934
44,2045,SSP1,48.7638942
44,2050,SSP1,58.39452657
44,2055,SSP1,68.31448099
44,2060,SSP1,78.40429051
44,2065,SSP1,88.51678116
44,2070,SSP1,98.51772747
44,2075,SSP1,108.3024624
44,2080,SSP1,117.8038542
44,2085,SSP1,126.9633044
44,2090,SSP1,135.7087402
44,2095,SSP1,143.978098
44,2100,SSP1,151.730711
70,2015,SSP1,0
70,2020,SSP1,-141.5173617
70,2025,SSP1,-287.5700456
70,2030,SSP1,-433.6277753
70,2035,SSP1,-574.9035712
70,2040,SSP1,-709.2459301
70,2045,SSP1,-836.0760685
70,2050,SSP1,-955.0257503
70,2055,SSP1,-1065.970648
70,2060,SSP1,-1168.22755
70,2065,SSP1,-1260.258884
70,2070,SSP1,-1339.870714
70,2075,SSP1,-1405.669032
70,2080,SSP1,-1457.18389
70,2085,SSP1,-1494.038933
70,2090,SSP1,-1516.272865
70,2095,SSP1,-1524.699912
70,2100,SSP1,-1521.671161
112,2015,SSP1,0
112,2020,SSP1,15.73807657
112,2025,SSP1,41.28416814
112,2030,SSP1,75.47435773
112,2035,SSP1,118.0364578
112,2040,SSP1,168.8168137
112,2045,SSP1,227.2613286
112,2050,SSP1,292.7590977
112,2055,SSP1,364.4380786
112,2060,SSP1,441.3091854
112,2065,SSP1,522.4551274
112,2070,SSP1,607.0108215
112,2075,SSP1,694.0615871
112,2080,SSP1,782.6536069
112,2085,SSP1,871.7351746
112,2090,SSP1,960.0836021
112,2095,SSP1,1046.325345
112,2100,SSP1,1129.087892
84,2015,SSP1,0
84,2020,SSP1,-1.392103932
84,2025,SSP1,-3.180548433
84,2030,SSP1,-5.289900872
84,2035,SSP1,-7.683614187
84,2040,SSP1,-10.33817893
84,2045,SSP1,-13.23149405
84,2050,SSP1,-16.34397645
84,2055,SSP1,-19.63106912
84,2060,SSP1,-23.06242922
84,2065,SSP1,-26.60221462
84,2070,SSP1,-30.21124833
84,2075,SSP1,-33.85525286
84,2080,SSP1,-37.50295597
84,2085,SSP1,-41.1193474
84,2090,SSP1,-44.66889522
84,2095,SSP1,-48.11288468
84,2100,SSP1,-51.42629011
68,2015,SSP1,0
68,2020,SSP1,-75.34505456
68,2025,SSP1,-162.7560774
68,2030,SSP1,-257.7611629
68,2035,SSP1,-357.9820635
68,2040,SSP1,-462.3913431
68,2045,SSP1,-570.3632558
68,2050,SSP1,-681.1381326
68,2055,SSP1,-793.5871714
68,2060,SSP1,-906.0505641
68,2065,SSP1,-1016.669444
68,2070,SSP1,-1123.875998
68,2075,SSP1,-1226.000467
68,2080,SSP1,-1322.085631
68,2085,SSP1,-1411.371717
68,2090,SSP1,-1493.62257
68,2095,SSP1,-1568.927718
68,2100,SSP1,-1637.548932
76,2015,SSP1,0
76,2020,SSP1,2.288188708
76,2025,SSP1,6.604068282
76,2030,SSP1,13.02510014
76,2035,SSP1,21.7161961
76,2040,SSP1,32.88685097
76,2045,SSP1,46.80742321
76,2050,SSP1,63.69937856
76,2055,SSP1,83.64772312
76,2060,SSP1,106.5797775
76,2065,SSP1,132.2708693
76,2070,SSP1,160.6932094
76,2075,SSP1,191.5770783
76,2080,SSP1,224.6767047
76,2085,SSP1,259.7025469
76,2090,SSP1,296.2773894
76,2095,SSP1,333.9288356
76,2100,SSP1,372.1387175
52,2015,SSP1,0
52,2020,SSP1,-4.441925639
52,2025,SSP1,-8.971569465
52,2030,SSP1,-13.40279296
52,2035,SSP1,-17.58766649
52,2040,SSP1,-21.48501584
52,2045,SSP1,-25.10207195
52,2050,SSP1,-28.46185634
52,2055,SSP1,-31.5643007
52,2060,SSP1,-34.38383998
52,2065,SSP1,-36.88047916
52,2070,SSP1,-39.0201111
52,2075,SSP1,-40.80638915
52,2080,SSP1,-42.2439031
52,2085,SSP1,-43.34000288
52,2090,SSP1,-44.10224489
52,2095,SSP1,-44.54406778
52,2100,SSP1,-44.70417533
96,2015,SSP1,0
96,2020,SSP1,4.458921935
96,2025,SSP1,9.38739069
96,2030,SSP1,14.56735208
96,2035,SSP1,19.83186241
