countrycode,country,scenario,year,governance,gov.eff,corr.cont
TCD,Chad,Observed,1996,0.303769725,0.374633111,0.112542895
TGO,Togo,Observed,1996,0.389581691,0.364124898,0.236497648
THA,Thailand,Observed,1996,0.576972938,0.540879047,0.347459037
TJK,Tajikistan,Observed,1996,0.196299926,0.21816172,0.137294805
TKM,Turkmenistan,Observed,1996,0.308939466,0.27031883,0.195270452
TON,Tonga,Observed,1996,NA,NA,NA
TTO,Trinidad and Tobago,Observed,1996,0.643291716,0.482971816,0.638425653
TUN,Tunisia,Observed,1996,0.506668145,0.580651998,0.307703842
TUR,Turkey,Observed,1996,0.48177005,0.488725975,0.396579344
TZA,"Tanzania, United Republic of",Observed,1996,0.41870447,0.364274996,0.268732696
UGA,Uganda,Observed,1996,0.379410024,0.364274996,0.263893772
UKR,Ukraine,Observed,1996,0.409598312,0.367890159,0.174839574
URY,Uruguay,Observed,1996,0.701100116,0.623148479,0.690000955
USA,United States,Observed,1996,0.839804933,0.814448536,0.792806957
UZB,Uzbekistan,Observed,1996,0.26595909,0.25995059,0.170533296
VCT,Saint Vincent and the Grenadines,Observed,1996,NA,NA,NA
VEN,"Venezuela, Bolivarian Republic o",Observed,1996,0.425661891,0.394209006,0.231812767
VNM,Viet Nam,Observed,1996,0.432812007,0.386038235,0.31781727
VUT,Vanuatu,Observed,1996,NA,NA,0.480563612
WSM,Samoa,Observed,1996,0.654566378,0.583261635,0.424578112
YEM,Yemen,Observed,1996,0.353918461,0.377233422,0.259289835
ZAF,South Africa,Observed,1996,0.641865597,0.711826693,0.599635531
ZMB,Zambia,Observed,1996,0.411991964,0.274653014,0.236954034
ZWE,Zimbabwe,Observed,1996,0.420524735,0.439361792,0.366438177
ARG,Argentina,Observed,1998,0.572275187,0.580806953,0.40456545
ARM,Armenia,Observed,1998,0.43757223,0.407494148,0.232218804
AUS,Australia,Observed,1998,0.869525392,0.846500673,0.857077661
AUT,Austria,Observed,1998,0.874003454,0.885210151,0.85737113
AZE,Azerbaijan,Observed,1998,0.316206758,0.305546751,0.131018184
BDI,Burundi,Observed,1998,0.226040172,0.182370066,0.251087752
BEL,Belgium,Observed,1998,0.817743689,0.878246212,0.743190349
BEN,Benin,Observed,1998,0.545344625,0.457791388,0.305632595
BFA,Burkina Faso,Observed,1998,0.449994389,0.360559101,0.407030382
BGD,Bangladesh,Observed,1998,0.419695797,0.4146028,0.265611873
BGR,Bulgaria,Observed,1998,0.552626995,0.463140685,0.39090357
BHR,Bahrain,Observed,1998,0.55978049,0.62689948,0.493654195
BHS,Bahamas,Observed,1998,0.795561156,0.772611816,0.738995594
BIH,Bosnia and Herzegovina,Observed,1998,0.413948724,0.285448993,0.342544562
BLR,Belarus,Observed,1998,0.378444621,0.381922309,0.331839814
BLZ,Belize,Observed,1998,0.59357999,0.52279283,0.409844812
BOL,"Bolivia, Plurinational State of",Observed,1998,0.525555641,0.490047059,0.348215349
BRA,Brazil,Observed,1998,0.544881244,0.487838172,0.448103203
BRB,Barbados,Observed,1998,0.823186096,0.8016579,0.796696785
BRN,Brunei Darussalam,Observed,1998,0.640009376,0.695005887,0.517214
BTN,Bhutan,Observed,1998,0.560606673,0.627816461,0.661248242
BWA,Botswana,Observed,1998,0.695646287,0.610323999,0.635705497
CAF,Central African Republic,Observed,1998,0.32158664,0.249597532,0.198746412
CAN,Canada,Observed,1998,0.892107413,0.900618828,0.912525866
CHE,Switzerland,Observed,1998,0.914898116,0.90680218,0.916684764
CHL,Chile,Observed,1998,0.745112262,0.74740888,0.748913745
CHN,China,Observed,1998,0.42495873,0.47980395,0.36891246
CIV,Cote d'Ivoire,Observed,1998,0.439584957,0.457587044,0.322551456
CMR,Cameroon,Observed,1998,0.33542844,0.340437467,0.149462947
COG,Congo,Observed,1998,0.244769734,0.274347653,0.137825005
COL,Colombia,Observed,1998,0.41642324,0.456510613,0.316086901
COM,Comoros,Observed,1998,0.358821279,0.182370066,0.148076492
